States,Regions,Dates,Usage,,,,
Assam,NEast,16-01-2019 0.00,31.3,,,,
Assam,NEast,17-01-2019 0.00,33.1,,,,
Assam,NEast,18-01-2019 0.00,32.5,,,,
Assam,NEast,19-01-2019 0.00,31.4,,,,
Assam,NEast,20-01-2019 0.00,33,,,,
Assam,NEast,21-01-2019 0.00,34.3,,,,
Assam,NEast,22-01-2019 0.00,33.3,,,,
Assam,NEast,23-01-2019 0.00,22.5,,,,
Assam,NEast,24-01-2019 0.00,21.3,,,,
Assam,NEast,25-01-2019 0.00,18.7,,,,
Assam,NEast,26-01-2019 0.00,22.3,,,,
Assam,NEast,27-01-2019 0.00,23.6,,,,
Assam,NEast,28-01-2019 0.00,18.7,,,,
Assam,NEast,29-01-2019 0.00,18.3,,,,
Assam,NEast,30-01-2019 0.00,20,,,,
Assam,NEast,31-01-2019 0.00,20.5,,,,
Assam,NEast,02-02-2019 0.00,20.9,,,,
Assam,NEast,03-02-2019 0.00,20.9,,,,
Assam,NEast,04-02-2019 0.00,19.7,,,,
Assam,NEast,05-02-2019 0.00,19.5,,,,
Assam,NEast,06-02-2019 0.00,19.8,,,,
Assam,NEast,07-02-2019 0.00,21.5,,,,
Assam,NEast,08-02-2019 0.00,24.3,,,,
Assam,NEast,09-02-2019 0.00,25.3,,,,
Assam,NEast,10-02-2019 0.00,26.5,,,,
Assam,NEast,11-02-2019 0.00,25.9,,,,
Assam,NEast,12-02-2019 0.00,25.2,,,,
Assam,NEast,13-02-2019 0.00,24.5,,,,
Assam,NEast,14-02-2019 0.00,23.9,,,,
Assam,NEast,15-02-2019 0.00,23.6,,,,
Assam,NEast,16-02-2019 0.00,23.7,,,,
Assam,NEast,17-02-2019 0.00,23.5,,,,
Assam,NEast,18-02-2019 0.00,23.8,,,,
Assam,NEast,19-02-2019 0.00,23.9,,,,
Assam,NEast,20-02-2019 0.00,22.6,,,,
Assam,NEast,21-02-2019 0.00,25.2,,,,
Assam,NEast,22-02-2019 0.00,28,,,,
Assam,NEast,23-02-2019 0.00,28.6,,,,
Assam,NEast,24-02-2019 0.00,27,,,,
Assam,NEast,25-02-2019 0.00,26.7,,,,
Assam,NEast,26-02-2019 0.00,28.8,,,,
Assam,NEast,27-02-2019 0.00,29.8,,,,
Assam,NEast,28-02-2019 0.00,22.7,,,,
Assam,NEast,02-03-2019 0.00,23.4,,,,
Assam,NEast,03-03-2019 0.00,23.2,,,,
Assam,NEast,04-03-2019 0.00,24.1,,,,
Assam,NEast,05-03-2019 0.00,22,,,,
Assam,NEast,06-03-2019 0.00,23,,,,
Assam,NEast,07-03-2019 0.00,21.6,,,,
Assam,NEast,08-03-2019 0.00,36.8,,,,
Assam,NEast,09-03-2019 0.00,37,,,,
Assam,NEast,10-03-2019 0.00,33.8,,,,
Assam,NEast,11-03-2019 0.00,37.2,,,,
Assam,NEast,12-03-2019 0.00,36.4,,,,
Assam,NEast,13-03-2019 0.00,34.9,,,,
Assam,NEast,14-03-2019 0.00,35.2,,,,
Assam,NEast,15-03-2019 0.00,19.1,,,,
Assam,NEast,16-03-2019 0.00,19.6,,,,
Assam,NEast,17-03-2019 0.00,19.9,,,,
Assam,NEast,18-03-2019 0.00,19.8,,,,
Assam,NEast,19-03-2019 0.00,21.5,,,,
Assam,NEast,20-03-2019 0.00,21.8,,,,
Assam,NEast,21-03-2019 0.00,21.7,,,,
Assam,NEast,22-03-2019 0.00,22.6,,,,
Assam,NEast,23-03-2019 0.00,22.7,,,,
Assam,NEast,24-03-2019 0.00,23.3,,,,
Assam,NEast,25-03-2019 0.00,23.1,,,,
Assam,NEast,26-03-2019 0.00,22.9,,,,
Assam,NEast,27-03-2019 0.00,23,,,,
Assam,NEast,28-03-2019 0.00,20.4,,,,
Assam,NEast,29-03-2019 0.00,24.8,,,,
Assam,NEast,30-03-2019 0.00,23.2,,,,
Assam,NEast,31-03-2019 0.00,22.7,,,,
Assam,NEast,02-04-2019 0.00,24.6,,,,
Assam,NEast,03-04-2019 0.00,25.8,,,,
Assam,NEast,04-04-2019 0.00,25.6,,,,
Assam,NEast,05-04-2019 0.00,15.2,,,,
Assam,NEast,06-04-2019 0.00,23.7,,,,
Assam,NEast,07-04-2019 0.00,22.8,,,,
Assam,NEast,08-04-2019 0.00,22.4,,,,
Assam,NEast,09-04-2019 0.00,19.8,,,,
Assam,NEast,10-04-2019 0.00,22.9,,,,
Assam,NEast,11-04-2019 0.00,23.6,,,,
Assam,NEast,12-04-2019 0.00,22.3,,,,
Assam,NEast,13-04-2019 0.00,33.2,,,,
Assam,NEast,14-04-2019 0.00,32.7,,,,
Assam,NEast,15-04-2019 0.00,27.7,,,,
Assam,NEast,16-04-2019 0.00,28.4,,,,
Assam,NEast,17-04-2019 0.00,29.6,,,,
Assam,NEast,18-04-2019 0.00,31.1,,,,
Assam,NEast,19-04-2019 0.00,32.7,,,,
Assam,NEast,20-04-2019 0.00,20.7,,,,
Assam,NEast,21-04-2019 0.00,22.7,,,,
Assam,NEast,22-04-2019 0.00,19.2,,,,
Assam,NEast,23-04-2019 0.00,21,,,,
Assam,NEast,24-04-2019 0.00,22.7,,,,
Assam,NEast,25-04-2019 0.00,23.1,,,,
Assam,NEast,26-04-2019 0.00,21.1,,,,
Assam,NEast,27-04-2019 0.00,22.8,,,,
Assam,NEast,28-04-2019 0.00,21.7,,,,
Assam,NEast,29-04-2019 0.00,22.5,,,,
Assam,NEast,30-04-2019 0.00,22.4,,,,
Assam,NEast,02-05-2019 0.00,22.8,,,,
Assam,NEast,03-05-2019 0.00,22.4,,,,
Assam,NEast,04-05-2019 0.00,21.4,,,,
Assam,NEast,05-05-2019 0.00,27.2,,,,
Assam,NEast,06-05-2019 0.00,24.7,,,,
Assam,NEast,07-05-2019 0.00,25.7,,,,
Assam,NEast,08-05-2019 0.00,28.8,,,,
Assam,NEast,09-05-2019 0.00,29.6,,,,
Assam,NEast,10-05-2019 0.00,29.4,,,,
Assam,NEast,11-05-2019 0.00,26.5,,,,
Assam,NEast,12-05-2019 0.00,29.5,,,,
Assam,NEast,13-05-2019 0.00,27.8,,,,
Assam,NEast,14-05-2019 0.00,29.2,,,,
Assam,NEast,15-05-2019 0.00,31.7,,,,
Assam,NEast,16-05-2019 0.00,31.4,,,,
Assam,NEast,17-05-2019 0.00,30.5,,,,
Assam,NEast,18-05-2019 0.00,30.9,,,,
Assam,NEast,19-05-2019 0.00,23.8,,,,
Assam,NEast,20-05-2019 0.00,25.8,,,,
Assam,NEast,21-05-2019 0.00,27.1,,,,
Assam,NEast,22-05-2019 0.00,28.9,,,,
Assam,NEast,23-05-2019 0.00,27,,,,
Assam,NEast,24-05-2019 0.00,27,,,,
Assam,NEast,25-05-2019 0.00,22,,,,
Assam,NEast,26-05-2019 0.00,19,,,,
Assam,NEast,27-05-2019 0.00,21.5,,,,
Assam,NEast,28-05-2019 0.00,21.3,,,,
Assam,NEast,29-05-2019 0.00,19.5,,,,
Assam,NEast,30-05-2019 0.00,19.1,,,,
Assam,NEast,31-05-2019 0.00,20.6,,,,
Assam,NEast,02-06-2019 0.00,21,,,,
Assam,NEast,03-06-2019 0.00,26.2,,,,
Assam,NEast,04-06-2019 0.00,26.9,,,,
Assam,NEast,05-06-2019 0.00,26.7,,,,
Assam,NEast,06-06-2019 0.00,24.6,,,,
Assam,NEast,07-06-2019 0.00,22.3,,,,
Assam,NEast,08-06-2019 0.00,20.3,,,,
Assam,NEast,09-06-2019 0.00,22.7,,,,
Assam,NEast,10-06-2019 0.00,23.2,,,,
Assam,NEast,11-06-2019 0.00,23.5,,,,
Assam,NEast,12-06-2019 0.00,23.3,,,,
Assam,NEast,13-06-2019 0.00,23.5,,,,
Assam,NEast,14-06-2019 0.00,23.8,,,,
Assam,NEast,15-06-2019 0.00,22.6,,,,
Assam,NEast,16-06-2019 0.00,22.5,,,,
Assam,NEast,17-06-2019 0.00,26,,,,
Assam,NEast,18-06-2019 0.00,27.6,,,,
Assam,NEast,19-06-2019 0.00,27.1,,,,
Assam,NEast,20-06-2019 0.00,25.5,,,,
Assam,NEast,21-06-2019 0.00,24.7,,,,
Assam,NEast,22-06-2019 0.00,25,,,,
Assam,NEast,23-06-2019 0.00,25.8,,,,
Assam,NEast,24-06-2019 0.00,21.5,,,,
Assam,NEast,25-06-2019 0.00,22.9,,,,
Assam,NEast,26-06-2019 0.00,24.1,,,,
Assam,NEast,27-06-2019 0.00,22.8,,,,
Assam,NEast,28-06-2019 0.00,23.1,,,,
Assam,NEast,29-06-2019 0.00,23.2,,,,
Assam,NEast,30-06-2019 0.00,22.2,,,,
Assam,NEast,01-07-2019 0.00,34.2,,,,
Assam,NEast,02-07-2019 0.00,36,,,,
Assam,NEast,03-07-2019 0.00,38,,,,
Assam,NEast,04-07-2019 0.00,37.2,,,,
Assam,NEast,05-07-2019 0.00,33.2,,,,
Assam,NEast,06-07-2019 0.00,34.8,,,,
Assam,NEast,07-07-2019 0.00,35.1,,,,
Assam,NEast,08-07-2019 0.00,15.8,,,,
Assam,NEast,08-07-2019 0.00,15.5,,,,
Assam,NEast,09-07-2019 0.00,14.8,,,,
Assam,NEast,09-07-2019 0.00,14.3,,,,
Assam,NEast,10-07-2019 0.00,16.8,,,,
Assam,NEast,10-07-2019 0.00,16.5,,,,
Assam,NEast,11-07-2019 0.00,17,,,,
Assam,NEast,11-07-2019 0.00,22.6,,,,
Assam,NEast,12-07-2019 0.00,23.6,,,,
Assam,NEast,12-07-2019 0.00,23.2,,,,
Assam,NEast,13-07-2019 0.00,23.3,,,,
Assam,NEast,14-07-2019 0.00,23.7,,,,
Assam,NEast,15-07-2019 0.00,23.3,,,,
Assam,NEast,16-07-2019 0.00,21.7,,,,
Assam,NEast,17-07-2019 0.00,23.7,,,,
Assam,NEast,18-07-2019 0.00,23.1,,,,
Assam,NEast,19-07-2019 0.00,23.4,,,,
Assam,NEast,20-07-2019 0.00,22.3,,,,
Assam,NEast,21-07-2019 0.00,21.2,,,,
Assam,NEast,22-07-2019 0.00,21.7,,,,
Assam,NEast,23-07-2019 0.00,23.2,,,,
Assam,NEast,24-07-2019 0.00,20.9,,,,
Assam,NEast,25-07-2019 0.00,21.9,,,,
Assam,NEast,26-07-2019 0.00,22.2,,,,
Assam,NEast,27-07-2019 0.00,23.6,,,,
Assam,NEast,28-07-2019 0.00,23.4,,,,
Assam,NEast,29-07-2019 0.00,23.9,,,,
Assam,NEast,30-07-2019 0.00,22.6,,,,
Assam,NEast,31-07-2019 0.00,30.2,,,,
Assam,NEast,01-08-2019 0.00,32.7,,,,
Assam,NEast,02-08-2019 0.00,33.9,,,,
Assam,NEast,03-08-2019 0.00,35.1,,,,
Assam,NEast,04-08-2019 0.00,33.2,,,,
Assam,NEast,05-08-2019 0.00,32,,,,
Assam,NEast,06-08-2019 0.00,32.3,,,,
Assam,NEast,08-08-2019 0.00,21.5,,,,
Assam,NEast,09-08-2019 0.00,27.6,,,,
Assam,NEast,10-08-2019 0.00,30.9,,,,
Assam,NEast,11-08-2019 0.00,28.4,,,,
Assam,NEast,12-08-2019 0.00,20.2,,,,
Assam,NEast,13-08-2019 0.00,21.7,,,,
Assam,NEast,14-08-2019 0.00,23.6,,,,
Assam,NEast,15-08-2019 0.00,22.6,,,,
Assam,NEast,16-08-2019 0.00,22.5,,,,
Assam,NEast,17-08-2019 0.00,22.4,,,,
Assam,NEast,18-08-2019 0.00,23.1,,,,
Assam,NEast,19-08-2019 0.00,22.9,,,,
Assam,NEast,20-08-2019 0.00,22.8,,,,
Assam,NEast,21-08-2019 0.00,20,,,,
Assam,NEast,22-08-2019 0.00,20.9,,,,
Assam,NEast,23-08-2019 0.00,21.2,,,,
Assam,NEast,24-08-2019 0.00,22,,,,
Assam,NEast,25-08-2019 0.00,20.9,,,,
Assam,NEast,26-08-2019 0.00,22.1,,,,
Assam,NEast,27-08-2019 0.00,22.1,,,,
Assam,NEast,28-08-2019 0.00,20.3,,,,
Assam,NEast,29-08-2019 0.00,31.6,,,,
Assam,NEast,30-08-2019 0.00,31.4,,,,
Assam,NEast,31-08-2019 0.00,33.1,,,,
Assam,NEast,01-09-2019 0.00,36.1,,,,
Assam,NEast,02-09-2019 0.00,35.5,,,,
Assam,NEast,03-09-2019 0.00,36.2,,,,
Assam,NEast,04-09-2019 0.00,31.4,,,,
Assam,NEast,05-09-2019 0.00,23.4,,,,
Assam,NEast,06-09-2019 0.00,23.9,,,,
Assam,NEast,08-09-2019 0.00,23.7,,,,
Assam,NEast,09-09-2019 0.00,24.2,,,,
Assam,NEast,10-09-2019 0.00,24.2,,,,
Assam,NEast,11-09-2019 0.00,24,,,,
Assam,NEast,12-09-2019 0.00,24.5,,,,
Assam,NEast,13-09-2019 0.00,27.3,,,,
Assam,NEast,14-09-2019 0.00,28.4,,,,
Assam,NEast,15-09-2019 0.00,32,,,,
Assam,NEast,16-09-2019 0.00,33.6,,,,
Assam,NEast,17-09-2019 0.00,33,,,,
Assam,NEast,18-09-2019 0.00,30.4,,,,
Assam,NEast,19-09-2019 0.00,22.3,,,,
Assam,NEast,20-09-2019 0.00,20.4,,,,
Assam,NEast,21-09-2019 0.00,15.6,,,,
Assam,NEast,22-09-2019 0.00,23.9,,,,
Assam,NEast,23-09-2019 0.00,26.1,,,,
Assam,NEast,24-09-2019 0.00,23.8,,,,
Assam,NEast,25-09-2019 0.00,22.9,,,,
Assam,NEast,26-09-2019 0.00,29.5,,,,
Assam,NEast,27-09-2019 0.00,29.4,,,,
Assam,NEast,28-09-2019 0.00,30,,,,
Assam,NEast,29-09-2019 0.00,31,,,,
Assam,NEast,30-09-2019 0.00,30.1,,,,
Assam,NEast,01-10-2019 0.00,30.2,,,,
Assam,NEast,02-10-2019 0.00,29.1,,,,
Assam,NEast,03-10-2019 0.00,23.9,,,,
Assam,NEast,04-10-2019 0.00,22.9,,,,
Assam,NEast,05-10-2019 0.00,21.4,,,,
Assam,NEast,06-10-2019 0.00,22.8,,,,
Assam,NEast,08-10-2019 0.00,23.3,,,,
Assam,NEast,09-10-2019 0.00,23.2,,,,
Assam,NEast,10-10-2019 0.00,22.2,,,,
Assam,NEast,11-10-2019 0.00,19,,,,
Assam,NEast,12-10-2019 0.00,21.5,,,,
Assam,NEast,13-10-2019 0.00,23.8,,,,
Assam,NEast,14-10-2019 0.00,24.9,,,,
Assam,NEast,15-10-2019 0.00,24.8,,,,
Assam,NEast,16-10-2019 0.00,24.5,,,,
Assam,NEast,17-10-2019 0.00,25.3,,,,
Assam,NEast,18-10-2019 0.00,23.1,,,,
Assam,NEast,19-10-2019 0.00,22.3,,,,
Assam,NEast,20-10-2019 0.00,20.5,,,,
Assam,NEast,21-10-2019 0.00,20.9,,,,
Assam,NEast,22-10-2019 0.00,22,,,,
Assam,NEast,23-10-2019 0.00,22.6,,,,
Assam,NEast,24-10-2019 0.00,22.7,,,,
Assam,NEast,25-10-2019 0.00,33.9,,,,
Assam,NEast,26-10-2019 0.00,32.6,,,,
Assam,NEast,27-10-2019 0.00,33.4,,,,
Assam,NEast,28-10-2019 0.00,30.3,,,,
Assam,NEast,29-10-2019 0.00,33.2,,,,
Assam,NEast,30-10-2019 0.00,35.2,,,,
Assam,NEast,31-10-2019 0.00,33.3,,,,
Assam,NEast,01-11-2019 0.00,19.2,,,,
Assam,NEast,02-11-2019 0.00,21.7,,,,
Assam,NEast,03-11-2019 0.00,21.3,,,,
Assam,NEast,04-11-2019 0.00,16.4,,,,
Assam,NEast,05-11-2019 0.00,15.9,,,,
Assam,NEast,06-11-2019 0.00,15.2,,,,
Assam,NEast,08-11-2019 0.00,14.9,,,,
Assam,NEast,09-11-2019 0.00,23.6,,,,
Assam,NEast,10-11-2019 0.00,23.8,,,,
Assam,NEast,11-11-2019 0.00,23.7,,,,
Assam,NEast,12-11-2019 0.00,23.5,,,,
Assam,NEast,13-11-2019 0.00,24.7,,,,
Assam,NEast,14-11-2019 0.00,24.1,,,,
Assam,NEast,15-11-2019 0.00,22.4,,,,
Assam,NEast,16-11-2019 0.00,24.3,,,,
Assam,NEast,17-11-2019 0.00,24.2,,,,
Assam,NEast,18-11-2019 0.00,24.1,,,,
Assam,NEast,19-11-2019 0.00,24.6,,,,
Assam,NEast,20-11-2019 0.00,24.7,,,,
Assam,NEast,21-11-2019 0.00,24,,,,
Assam,NEast,22-11-2019 0.00,23.4,,,,
Assam,NEast,23-11-2019 0.00,22.5,,,,
Assam,NEast,24-11-2019 0.00,23.2,,,,
Assam,NEast,25-11-2019 0.00,23.4,,,,
Assam,NEast,26-11-2019 0.00,23.9,,,,
Assam,NEast,27-11-2019 0.00,24,,,,
Assam,NEast,28-11-2019 0.00,23.4,,,,
Assam,NEast,29-11-2019 0.00,19.2,,,,
Assam,NEast,30-11-2019 0.00,30.5,,,,
Assam,NEast,01-12-2019 0.00,31.8,,,,
Assam,NEast,02-12-2019 0.00,35.1,,,,
Assam,NEast,03-12-2019 0.00,34.9,,,,
Assam,NEast,04-12-2019 0.00,31,,,,
Assam,NEast,05-12-2019 0.00,31.8,,,,
Assam,NEast,06-12-2019 0.00,30,,,,
Assam,NEast,08-12-2019 0.00,26.5,,,,
Assam,NEast,09-12-2019 0.00,27.1,,,,
Assam,NEast,10-12-2019 0.00,27.5,,,,
Assam,NEast,11-12-2019 0.00,21.6,,,,
Assam,NEast,12-12-2019 0.00,21.5,,,,
Assam,NEast,13-12-2019 0.00,22.2,,,,
Assam,NEast,14-12-2019 0.00,22.1,,,,
Assam,NEast,15-12-2019 0.00,22.1,,,,
Assam,NEast,16-12-2019 0.00,22.6,,,,
Assam,NEast,17-12-2019 0.00,22.7,,,,
Assam,NEast,18-12-2019 0.00,23.1,,,,
Assam,NEast,19-12-2019 0.00,23.6,,,,
Assam,NEast,20-12-2019 0.00,22.8,,,,
Assam,NEast,21-12-2019 0.00,21.4,,,,
Assam,NEast,22-12-2019 0.00,21.3,,,,
Assam,NEast,23-12-2019 0.00,20,,,,
Assam,NEast,24-12-2019 0.00,21.1,,,,
Assam,NEast,25-12-2019 0.00,18.9,,,,
Assam,NEast,26-12-2019 0.00,19,,,,
Assam,NEast,27-12-2019 0.00,20.1,,,,
Assam,NEast,28-12-2019 0.00,19.7,,,,
Assam,NEast,29-12-2019 0.00,34.2,,,,
Assam,NEast,30-12-2019 0.00,35,,,,
Assam,NEast,31-12-2019 0.00,34.7,,,,
Assam,NEast,01-01-2020 0.00,34.1,,,,
Assam,NEast,02-01-2020 0.00,32.3,,,,
Assam,NEast,03-01-2020 0.00,31.5,,,,
Assam,NEast,04-01-2020 0.00,30.8,,,,
Assam,NEast,05-01-2020 0.00,22.6,,,,
Assam,NEast,13-01-2020 0.00,20.7,,,,
Assam,NEast,14-01-2020 0.00,21.4,,,,
Assam,NEast,15-01-2020 0.00,23.3,,,,
Assam,NEast,16-01-2020 0.00,23.6,,,,
Assam,NEast,17-01-2020 0.00,22.8,,,,
Assam,NEast,18-01-2020 0.00,22.3,,,,
Assam,NEast,19-01-2020 0.00,27.6,,,,
Assam,NEast,20-01-2020 0.00,28.7,,,,
Assam,NEast,21-01-2020 0.00,27.1,,,,
Assam,NEast,22-01-2020 0.00,27.2,,,,
Assam,NEast,23-01-2020 0.00,26.5,,,,
Assam,NEast,24-01-2020 0.00,28.1,,,,
Assam,NEast,25-01-2020 0.00,25.9,,,,
Assam,NEast,26-01-2020 0.00,21.3,,,,
Assam,NEast,27-01-2020 0.00,22.3,,,,
Assam,NEast,28-01-2020 0.00,24.3,,,,
Assam,NEast,29-01-2020 0.00,24.8,,,,
Assam,NEast,30-01-2020 0.00,25.4,,,,
Assam,NEast,31-01-2020 0.00,27.8,,,,
Assam,NEast,01-02-2020 0.00,23.6,,,,
Assam,NEast,02-02-2020 0.00,25.1,,,,
Assam,NEast,03-02-2020 0.00,22,,,,
Assam,NEast,04-02-2020 0.00,23.5,,,,
Assam,NEast,05-02-2020 0.00,26.1,,,,
Assam,NEast,13-02-2020 0.00,29.1,,,,
Assam,NEast,14-02-2020 0.00,27.6,,,,
Assam,NEast,15-02-2020 0.00,28,,,,
Assam,NEast,16-02-2020 0.00,23,,,,
Assam,NEast,17-02-2020 0.00,22.1,,,,
Assam,NEast,18-02-2020 0.00,21.8,,,,
Assam,NEast,19-02-2020 0.00,22.5,,,,
Assam,NEast,20-02-2020 0.00,23,,,,
Assam,NEast,21-02-2020 0.00,23.8,,,,
Assam,NEast,22-02-2020 0.00,23.4,,,,
Assam,NEast,23-02-2020 0.00,23,,,,
Assam,NEast,24-02-2020 0.00,23.9,,,,
Assam,NEast,25-02-2020 0.00,24.5,,,,
Assam,NEast,26-02-2020 0.00,23.1,,,,
Assam,NEast,27-02-2020 0.00,23.4,,,,
Assam,NEast,28-02-2020 0.00,24.4,,,,
Assam,NEast,29-02-2020 0.00,23.3,,,,
Assam,NEast,01-03-2020 0.00,22.6,,,,
Assam,NEast,02-03-2020 0.00,22.4,,,,
Assam,NEast,03-03-2020 0.00,22,,,,
Assam,NEast,04-03-2020 0.00,23,,,,
Assam,NEast,05-03-2020 0.00,22.4,,,,
Assam,NEast,13-03-2020 0.00,23.1,,,,
Assam,NEast,14-03-2020 0.00,21.6,,,,
Assam,NEast,15-03-2020 0.00,34,,,,
Assam,NEast,16-03-2020 0.00,30.9,,,,
Assam,NEast,17-03-2020 0.00,26.8,,,,
Assam,NEast,18-03-2020 0.00,27.6,,,,
Assam,NEast,19-03-2020 0.00,28.7,,,,
Assam,NEast,20-03-2020 0.00,27.1,,,,
Assam,NEast,21-03-2020 0.00,27.2,,,,
Assam,NEast,22-03-2020 0.00,19.1,,,,
Assam,NEast,23-03-2020 0.00,20.4,,,,
Assam,NEast,24-03-2020 0.00,20.3,,,,
Assam,NEast,25-03-2020 0.00,20.1,,,,
Assam,NEast,26-03-2020 0.00,18.2,,,,
Assam,NEast,27-03-2020 0.00,12.2,,,,
Assam,NEast,28-03-2020 0.00,17.5,,,,
Assam,NEast,29-03-2020 0.00,24.3,,,,
Assam,NEast,30-03-2020 0.00,25.4,,,,
Assam,NEast,31-03-2020 0.00,24.5,,,,
Assam,NEast,01-04-2020 0.00,24.9,,,,
Assam,NEast,02-04-2020 0.00,24.8,,,,
Assam,NEast,03-04-2020 0.00,24.2,,,,
Assam,NEast,04-04-2020 0.00,22.5,,,,
Assam,NEast,05-04-2020 0.00,23.6,,,,
Assam,NEast,13-04-2020 0.00,21.5,,,,
Assam,NEast,14-04-2020 0.00,21.1,,,,
Assam,NEast,15-04-2020 0.00,22.4,,,,
Assam,NEast,16-04-2020 0.00,22.8,,,,
Assam,NEast,17-04-2020 0.00,22.5,,,,
Assam,NEast,18-04-2020 0.00,22.5,,,,
Assam,NEast,19-04-2020 0.00,23.6,,,,
Assam,NEast,20-04-2020 0.00,23.4,,,,
Assam,NEast,21-04-2020 0.00,23.7,,,,
Assam,NEast,22-04-2020 0.00,23.9,,,,
Assam,NEast,23-04-2020 0.00,23.6,,,,
Assam,NEast,24-04-2020 0.00,23.2,,,,
Assam,NEast,25-04-2020 0.00,22.1,,,,
Assam,NEast,26-04-2020 0.00,28.3,,,,
Assam,NEast,27-04-2020 0.00,26.6,,,,
Assam,NEast,28-04-2020 0.00,29.9,,,,
Assam,NEast,29-04-2020 0.00,31.2,,,,
Assam,NEast,30-04-2020 0.00,30.3,,,,
Assam,NEast,01-05-2020 0.00,31.1,,,,
Assam,NEast,02-05-2020 0.00,29.3,,,,
Assam,NEast,03-05-2020 0.00,21.4,,,,
Assam,NEast,04-05-2020 0.00,24.6,,,,
Assam,NEast,05-05-2020 0.00,22.8,,,,
Assam,NEast,13-05-2020 0.00,21.9,,,,
Assam,NEast,14-05-2020 0.00,21.8,,,,
Assam,NEast,15-05-2020 0.00,23,,,,
Assam,NEast,16-05-2020 0.00,25,,,,
Assam,NEast,17-05-2020 0.00,22.4,,,,
Assam,NEast,18-05-2020 0.00,22.3,,,,
Assam,NEast,19-05-2020 0.00,22.7,,,,
Assam,NEast,20-05-2020 0.00,22.8,,,,
Assam,NEast,21-05-2020 0.00,23.9,,,,
Assam,NEast,22-05-2020 0.00,23,,,,
Assam,NEast,23-05-2020 0.00,20.9,,,,
Assam,NEast,01-06-2020 0.00,23.4,,,,
Assam,NEast,02-06-2020 0.00,22,,,,
Assam,NEast,03-06-2020 0.00,22.2,,,,
Assam,NEast,04-06-2020 0.00,21.5,,,,
Assam,NEast,05-06-2020 0.00,22.6,,,,
Assam,NEast,01-07-2020 0.00,21.5,,,,
Assam,NEast,02-07-2020 0.00,21.1,,,,
Assam,NEast,03-07-2020 0.00,35.5,,,,
Assam,NEast,04-07-2020 0.00,36.1,,,,
Assam,NEast,05-07-2020 0.00,34,,,,
Assam,NEast,01-08-2020 0.00,33.3,,,,
Assam,NEast,02-08-2020 0.00,35.2,,,,
Assam,NEast,03-08-2020 0.00,36,,,,
Assam,NEast,04-08-2020 0.00,33.3,,,,
Assam,NEast,05-08-2020 0.00,22.5,,,,
Assam,NEast,01-09-2020 0.00,20.3,,,,
Assam,NEast,02-09-2020 0.00,21.3,,,,
Assam,NEast,03-09-2020 0.00,22.5,,,,
Assam,NEast,04-09-2020 0.00,22.5,,,,
Assam,NEast,05-09-2020 0.00,22.2,,,,
Assam,NEast,01-10-2020 0.00,21,,,,
Assam,NEast,02-10-2020 0.00,33,,,,
Assam,NEast,03-10-2020 0.00,31.7,,,,
Assam,NEast,04-10-2020 0.00,30.9,,,,
Assam,NEast,05-10-2020 0.00,35,,,,
Assam,NEast,01-11-2020 0.00,34,,,,
Assam,NEast,02-11-2020 0.00,30.9,,,,
Assam,NEast,03-11-2020 0.00,26.8,,,,
Assam,NEast,04-11-2020 0.00,18,,,,
Assam,NEast,05-11-2020 0.00,19.8,,,,
Assam,NEast,01-12-2020 0.00,20.4,,,,
Assam,NEast,02-12-2020 0.00,23.3,,,,
Assam,NEast,03-12-2020 0.00,21.7,,,,
Assam,NEast,04-12-2020 0.00,24.2,,,,
Assam,NEast,05-12-2020 0.00,20.3,,,,
Bihar,East,02-01-2019 0.00,82.3,,,,
Bihar,East,03-01-2019 0.00,82,,,,
Bihar,East,04-01-2019 0.00,82.9,,,,
Bihar,East,05-01-2019 0.00,77,,,,
Bihar,East,06-01-2019 0.00,76.4,,,,
Bihar,East,07-01-2019 0.00,75.3,,,,
Bihar,East,08-01-2019 0.00,76.2,,,,
Bihar,East,09-01-2019 0.00,56.4,,,,
Bihar,East,10-01-2019 0.00,69.9,,,,
Bihar,East,11-01-2019 0.00,76.2,,,,
Bihar,East,12-01-2019 0.00,82.3,,,,
Bihar,East,13-01-2019 0.00,87.7,,,,
Bihar,East,14-01-2019 0.00,88.2,,,,
Bihar,East,15-01-2019 0.00,93.7,,,,
Bihar,East,16-01-2019 0.00,93.5,,,,
Bihar,East,17-01-2019 0.00,98.9,,,,
Bihar,East,18-01-2019 0.00,106.1,,,,
Bihar,East,19-01-2019 0.00,105.5,,,,
Bihar,East,20-01-2019 0.00,106.7,,,,
Bihar,East,21-01-2019 0.00,109.1,,,,
Bihar,East,22-01-2019 0.00,111,,,,
Bihar,East,23-01-2019 0.00,101.7,,,,
Bihar,East,24-01-2019 0.00,105,,,,
Bihar,East,25-01-2019 0.00,102.1,,,,
Bihar,East,26-01-2019 0.00,100.1,,,,
Bihar,East,27-01-2019 0.00,82.8,,,,
Bihar,East,28-01-2019 0.00,80.4,,,,
Bihar,East,29-01-2019 0.00,87.9,,,,
Bihar,East,30-01-2019 0.00,65.3,,,,
Bihar,East,31-01-2019 0.00,69.4,,,,
Bihar,East,02-02-2019 0.00,71.2,,,,
Bihar,East,03-02-2019 0.00,77.4,,,,
Bihar,East,04-02-2019 0.00,78.3,,,,
Bihar,East,05-02-2019 0.00,76.1,,,,
