States,Regions,Dates,Usage,,,,
Andhra Pradesh,South,18-04-2019 0.00,184.6,,,,
Andhra Pradesh,South,19-04-2019 0.00,174.3,,,,
Andhra Pradesh,South,20-04-2019 0.00,195,,,,
Andhra Pradesh,South,21-04-2019 0.00,197.6,,,,
Andhra Pradesh,South,22-04-2019 0.00,201.2,,,,
Andhra Pradesh,South,23-04-2019 0.00,199,,,,
Andhra Pradesh,South,24-04-2019 0.00,200.7,,,,
Andhra Pradesh,South,25-04-2019 0.00,200.8,,,,
Andhra Pradesh,South,26-04-2019 0.00,194,,,,
Andhra Pradesh,South,27-04-2019 0.00,166.1,,,,
Andhra Pradesh,South,28-04-2019 0.00,167.7,,,,
Andhra Pradesh,South,29-04-2019 0.00,164.5,,,,
Andhra Pradesh,South,30-04-2019 0.00,168.2,,,,
Andhra Pradesh,South,02-05-2019 0.00,172.6,,,,
Andhra Pradesh,South,03-05-2019 0.00,170.1,,,,
Andhra Pradesh,South,04-05-2019 0.00,163,,,,
Andhra Pradesh,South,05-05-2019 0.00,158.1,,,,
Andhra Pradesh,South,06-05-2019 0.00,153.1,,,,
Andhra Pradesh,South,07-05-2019 0.00,153.9,,,,
Andhra Pradesh,South,08-05-2019 0.00,147.7,,,,
Andhra Pradesh,South,09-05-2019 0.00,149.7,,,,
Andhra Pradesh,South,10-05-2019 0.00,154.2,,,,
Andhra Pradesh,South,11-05-2019 0.00,160,,,,
Andhra Pradesh,South,12-05-2019 0.00,165.3,,,,
Andhra Pradesh,South,13-05-2019 0.00,168.2,,,,
Andhra Pradesh,South,14-05-2019 0.00,175.2,,,,
Andhra Pradesh,South,15-05-2019 0.00,174.1,,,,
Andhra Pradesh,South,16-05-2019 0.00,158.7,,,,
Andhra Pradesh,South,17-05-2019 0.00,154.9,,,,
Andhra Pradesh,South,18-05-2019 0.00,151,,,,
Andhra Pradesh,South,19-05-2019 0.00,177.6,,,,
Andhra Pradesh,South,20-05-2019 0.00,178.2,,,,
Andhra Pradesh,South,21-05-2019 0.00,186.1,,,,
Andhra Pradesh,South,22-05-2019 0.00,189.3,,,,
Andhra Pradesh,South,23-05-2019 0.00,193.3,,,,
Andhra Pradesh,South,24-05-2019 0.00,193.3,,,,
Andhra Pradesh,South,25-05-2019 0.00,189,,,,
Andhra Pradesh,South,26-05-2019 0.00,176.7,,,,
Andhra Pradesh,South,27-05-2019 0.00,181.4,,,,
Andhra Pradesh,South,28-05-2019 0.00,175.4,,,,
Andhra Pradesh,South,29-05-2019 0.00,162.1,,,,
Andhra Pradesh,South,30-05-2019 0.00,159.7,,,,
Andhra Pradesh,South,31-05-2019 0.00,160.4,,,,
Andhra Pradesh,South,02-06-2019 0.00,161,,,,
Andhra Pradesh,South,03-06-2019 0.00,152.5,,,,
Andhra Pradesh,South,04-06-2019 0.00,146.7,,,,
Andhra Pradesh,South,05-06-2019 0.00,144.4,,,,
Andhra Pradesh,South,06-06-2019 0.00,146.6,,,,
Andhra Pradesh,South,07-06-2019 0.00,151.4,,,,
Andhra Pradesh,South,08-06-2019 0.00,149.8,,,,
Andhra Pradesh,South,09-06-2019 0.00,146.1,,,,
Andhra Pradesh,South,10-06-2019 0.00,165.2,,,,
Andhra Pradesh,South,11-06-2019 0.00,166.6,,,,
Andhra Pradesh,South,12-06-2019 0.00,167.5,,,,
Andhra Pradesh,South,13-06-2019 0.00,169.7,,,,
Andhra Pradesh,South,14-06-2019 0.00,169.7,,,,
Andhra Pradesh,South,15-06-2019 0.00,168.6,,,,
Andhra Pradesh,South,16-06-2019 0.00,162.7,,,,
Andhra Pradesh,South,17-06-2019 0.00,193.1,,,,
Andhra Pradesh,South,18-06-2019 0.00,201.7,,,,
Andhra Pradesh,South,19-06-2019 0.00,202.5,,,,
Andhra Pradesh,South,20-06-2019 0.00,202.5,,,,
Andhra Pradesh,South,21-06-2019 0.00,199.9,,,,
Andhra Pradesh,South,22-06-2019 0.00,201,,,,
Andhra Pradesh,South,23-06-2019 0.00,199.1,,,,
Andhra Pradesh,South,24-06-2019 0.00,177.3,,,,
Andhra Pradesh,South,25-06-2019 0.00,180.6,,,,
Andhra Pradesh,South,26-06-2019 0.00,182.4,,,,
Andhra Pradesh,South,27-06-2019 0.00,184.3,,,,
Andhra Pradesh,South,28-06-2019 0.00,182.8,,,,
Andhra Pradesh,South,29-06-2019 0.00,183,,,,
Andhra Pradesh,South,30-06-2019 0.00,178.7,,,,
Andhra Pradesh,South,01-07-2019 0.00,164.3,,,,
Andhra Pradesh,South,02-07-2019 0.00,161.9,,,,
Andhra Pradesh,South,03-07-2019 0.00,159.9,,,,
Andhra Pradesh,South,04-07-2019 0.00,160.9,,,,
Andhra Pradesh,South,05-07-2019 0.00,164.7,,,,
Andhra Pradesh,South,06-07-2019 0.00,165.4,,,,
Andhra Pradesh,South,07-07-2019 0.00,166.8,,,,
Andhra Pradesh,South,08-07-2019 0.00,168.7,,,,
Andhra Pradesh,South,08-07-2019 0.00,170.6,,,,
Andhra Pradesh,South,09-07-2019 0.00,169.3,,,,
Andhra Pradesh,South,09-07-2019 0.00,170.1,,,,
Andhra Pradesh,South,10-07-2019 0.00,170.5,,,,
Andhra Pradesh,South,10-07-2019 0.00,169.4,,,,
Andhra Pradesh,South,11-07-2019 0.00,159.1,,,,
Andhra Pradesh,South,11-07-2019 0.00,175.1,,,,
Andhra Pradesh,South,12-07-2019 0.00,173.8,,,,
Andhra Pradesh,South,12-07-2019 0.00,167.6,,,,
Andhra Pradesh,South,13-07-2019 0.00,168.6,,,,
Andhra Pradesh,South,14-07-2019 0.00,169.6,,,,
Andhra Pradesh,South,15-07-2019 0.00,169.3,,,,
Andhra Pradesh,South,16-07-2019 0.00,167.3,,,,
Andhra Pradesh,South,17-07-2019 0.00,192.4,,,,
Andhra Pradesh,South,18-07-2019 0.00,196.9,,,,
Andhra Pradesh,South,19-07-2019 0.00,197.8,,,,
Andhra Pradesh,South,20-07-2019 0.00,193.1,,,,
Andhra Pradesh,South,21-07-2019 0.00,196.4,,,,
Andhra Pradesh,South,22-07-2019 0.00,200.7,,,,
Andhra Pradesh,South,23-07-2019 0.00,195.8,,,,
Andhra Pradesh,South,24-07-2019 0.00,190.1,,,,
Andhra Pradesh,South,25-07-2019 0.00,192.8,,,,
Andhra Pradesh,South,26-07-2019 0.00,187.7,,,,
Andhra Pradesh,South,27-07-2019 0.00,193.6,,,,
Andhra Pradesh,South,28-07-2019 0.00,192.6,,,,
Andhra Pradesh,South,29-07-2019 0.00,191.9,,,,
Andhra Pradesh,South,30-07-2019 0.00,190.2,,,,
Andhra Pradesh,South,31-07-2019 0.00,193.4,,,,
Andhra Pradesh,South,01-08-2019 0.00,197,,,,
Andhra Pradesh,South,02-08-2019 0.00,204,,,,
Andhra Pradesh,South,03-08-2019 0.00,195.3,,,,
Andhra Pradesh,South,04-08-2019 0.00,183,,,,
Andhra Pradesh,South,05-08-2019 0.00,183,,,,
Andhra Pradesh,South,06-08-2019 0.00,169.6,,,,
Andhra Pradesh,South,08-08-2019 0.00,177.6,,,,
Andhra Pradesh,South,09-08-2019 0.00,174.1,,,,
Andhra Pradesh,South,10-08-2019 0.00,164.7,,,,
Andhra Pradesh,South,11-08-2019 0.00,175.5,,,,
Andhra Pradesh,South,12-08-2019 0.00,186.9,,,,
Andhra Pradesh,South,13-08-2019 0.00,192.3,,,,
Andhra Pradesh,South,14-08-2019 0.00,195.9,,,,
Andhra Pradesh,South,15-08-2019 0.00,193.5,,,,
Andhra Pradesh,South,16-08-2019 0.00,197.3,,,,
Andhra Pradesh,South,17-08-2019 0.00,198.1,,,,
